Timestamp, Internal Temperature, External Temperature, Reference Temperature, Actuators
10:06:19,42.94,33.39,0.00,0%
10:06:21,42.94,33.39,31.00,-100%
10:06:23,42.88,33.39,31.00,-100%
10:06:25,42.75,33.40,31.00,-100%
10:06:27,42.75,33.38,31.00,-100%
10:06:29,42.56,33.39,31.00,-100%
10:06:31,42.56,33.40,31.00,-100%
10:06:33,42.38,33.40,31.00,-100%
10:06:35,42.19,33.39,31.00,-100%
10:06:37,42.00,33.39,31.00,-100%
10:06:39,41.88,33.40,31.00,-100%
10:06:41,41.62,33.40,31.00,-100%
10:06:43,41.62,33.40,31.00,-100%
10:06:45,41.56,33.40,31.00,-100%
10:06:47,41.38,33.40,31.00,-100%
10:06:49,41.25,33.40,31.00,-100%
10:06:51,41.06,33.41,31.00,-100%
10:06:53,40.88,33.40,31.00,-100%
10:06:55,40.88,33.41,31.00,-100%
10:06:57,40.88,33.40,31.00,-100%
10:06:59,40.75,33.41,31.00,-100%
10:07:01,40.62,33.40,31.00,-100%
10:07:03,40.44,33.40,31.00,-100%
10:07:05,40.31,33.40,31.00,-100%
10:07:07,40.19,33.40,31.00,-100%
10:07:09,40.06,33.40,31.00,-100%
10:07:11,40.06,33.41,31.00,-100%
10:07:13,40.00,33.40,31.00,-100%
10:07:15,39.81,33.41,31.00,-100%
10:07:17,39.69,33.40,31.00,-100%
10:07:19,39.56,33.41,31.00,-100%
10:07:21,39.50,33.42,31.00,-100%
10:07:23,39.50,33.41,31.00,-100%
10:07:25,39.50,33.41,31.00,-100%
10:07:27,39.31,33.39,31.00,-100%
10:07:29,39.19,33.39,31.00,-100%
10:07:31,39.06,33.40,31.00,-100%
10:07:33,39.00,33.40,31.00,-100%
10:07:35,38.88,33.39,31.00,-100%
10:07:37,38.81,33.40,31.00,-100%
10:07:39,38.81,33.39,31.00,-100%
10:07:41,38.62,33.39,31.00,-100%
10:07:43,38.56,33.40,31.00,-100%
10:07:45,38.44,33.39,31.00,-100%
10:07:47,38.44,33.40,31.00,-100%
10:07:49,38.31,33.39,31.00,-100%
10:07:51,38.25,33.40,31.00,-100%
10:07:53,38.19,33.39,31.00,-100%
10:07:55,38.19,33.41,31.00,-100%
10:07:57,38.06,33.39,31.00,-100%
10:07:59,38.00,33.39,31.00,-100%
10:08:01,37.94,33.40,31.00,-100%
10:08:03,37.88,33.40,31.00,-100%
10:08:05,37.75,33.41,31.00,-100%
10:08:07,37.75,33.40,31.00,-100%
10:08:09,37.69,33.40,31.00,-100%
10:08:11,37.62,33.39,31.00,-100%
10:08:13,37.62,33.40,31.00,-100%
10:08:15,37.56,33.39,31.00,-100%
10:08:17,37.50,33.40,31.00,-100%
10:08:19,37.44,33.39,31.00,-100%
10:08:21,37.38,33.40,31.00,-100%
10:08:23,37.38,33.40,31.00,-100%
10:08:25,37.25,33.40,31.00,-100%
10:08:27,37.19,33.39,31.00,-100%
10:08:29,37.12,33.40,31.00,-100%
10:08:31,37.00,33.39,31.00,-100%
10:08:33,37.00,33.40,31.00,-100%
10:08:35,37.00,33.40,31.00,-100%
10:08:37,37.00,33.40,31.00,-100%
10:08:39,36.88,33.40,31.00,-100%
10:08:41,36.81,33.40,31.00,-100%
10:08:43,36.75,33.39,31.00,-100%
10:08:45,36.62,33.40,31.00,-100%
10:08:47,36.56,33.40,31.00,-100%
10:08:49,36.50,33.40,31.00,-100%
10:08:51,36.50,33.40,31.00,-100%
10:08:53,36.44,33.40,31.00,-100%
10:08:55,36.31,33.39,31.00,-100%
10:08:57,36.31,33.40,31.00,-100%
10:08:59,36.19,33.39,31.00,-100%
10:09:01,36.12,33.39,31.00,-100%
10:09:03,36.12,33.40,31.00,-100%
10:09:05,36.06,33.40,31.00,-100%
10:09:07,36.06,33.40,31.00,-100%
10:09:09,36.00,33.40,31.00,-100%
10:09:11,35.94,33.40,31.00,-100%
10:09:13,35.81,33.41,31.00,-100%
10:09:15,35.81,33.41,31.00,-100%
10:09:17,35.75,33.40,31.00,-100%
10:09:19,35.75,33.40,31.00,-100%
10:09:21,35.75,33.41,31.00,-100%
10:09:23,35.62,33.40,31.00,-100%
10:09:25,35.56,33.40,31.00,-100%
10:09:27,35.50,33.40,31.00,-100%
10:09:29,35.50,33.39,31.00,-100%
10:09:31,35.50,33.39,31.00,-100%
10:09:33,35.38,33.38,31.00,-100%
10:09:35,35.38,33.40,31.00,-100%
10:09:37,35.31,33.39,31.00,-100%
10:09:39,35.25,33.39,31.00,-100%
10:09:41,35.25,33.39,31.00,-100%
10:09:43,35.19,33.40,31.00,-100%
10:09:45,35.19,33.40,31.00,-100%
10:09:47,35.12,33.40,31.00,-100%
10:09:49,35.12,33.40,31.00,-100%
10:09:51,35.06,33.40,31.00,-100%
10:09:53,35.06,33.41,31.00,-100%
10:09:55,35.00,33.40,31.00,-100%
10:09:57,34.94,33.41,31.00,-100%
10:09:59,34.88,33.41,31.00,-100%
10:10:01,34.81,33.40,31.00,-100%
10:10:03,34.81,33.39,31.00,-100%
10:10:05,34.81,33.39,31.00,-100%
10:10:07,34.69,33.38,31.00,-100%
10:10:09,34.69,33.38,31.00,-100%
