Timestamp, Internal Temperature, External Temperature, Reference Temperature, Actuators
10:19:50,55.69,33.49,0.00,0%
10:19:52,55.62,33.50,71.00,100%
10:19:54,55.56,33.50,71.00,100%
10:19:56,55.44,33.50,71.00,100%
10:19:58,55.38,33.49,71.00,100%
10:20:00,55.38,33.49,71.00,100%
10:20:02,55.38,33.50,71.00,100%
10:20:04,55.38,33.50,71.00,100%
10:20:06,55.31,33.50,71.00,100%
10:20:08,55.31,33.51,71.00,100%
10:20:10,55.31,33.51,71.00,100%
10:20:12,55.25,33.52,71.00,100%
10:20:14,55.25,33.52,71.00,100%
10:20:16,55.25,33.51,71.00,100%
10:20:18,55.25,33.51,71.00,100%
10:20:20,55.31,33.51,71.00,100%
10:20:22,55.31,33.51,71.00,100%
10:20:24,55.31,33.52,71.00,100%
10:20:26,55.38,33.52,71.00,100%
10:20:28,55.38,33.52,71.00,100%
10:20:30,55.38,33.52,71.00,100%
10:20:32,55.38,33.52,71.00,100%
10:20:34,55.38,33.52,71.00,100%
10:20:36,55.44,33.53,71.00,100%
10:20:38,55.50,33.52,71.00,100%
10:20:40,55.50,33.52,71.00,100%
10:20:42,55.56,33.53,71.00,100%
10:20:44,55.56,33.53,71.00,100%
10:20:46,55.62,33.54,71.00,100%
10:20:48,55.69,33.53,71.00,100%
10:20:50,55.75,33.53,71.00,100%
10:20:52,55.75,33.53,71.00,100%
10:20:54,55.81,33.54,71.00,100%
10:20:56,55.94,33.54,71.00,100%
10:20:58,55.94,33.54,71.00,100%
10:21:00,55.94,33.54,71.00,100%
10:21:02,56.06,33.54,71.00,100%
10:21:04,56.12,33.54,71.00,100%
10:21:06,56.19,33.53,71.00,100%
10:21:08,56.25,33.54,71.00,100%
10:21:10,56.25,33.54,71.00,100%
10:21:12,56.31,33.55,71.00,100%
10:21:14,56.38,33.54,71.00,100%
10:21:16,56.44,33.53,71.00,100%
10:21:18,56.44,33.53,71.00,100%
10:21:20,56.50,33.52,71.00,100%
10:21:22,56.56,33.52,71.00,100%
10:21:24,56.62,33.52,71.00,100%
10:21:26,56.62,33.52,71.00,100%
10:21:28,56.75,33.52,71.00,100%
10:21:30,56.81,33.52,71.00,100%
10:21:32,56.88,33.52,71.00,100%
10:21:34,56.94,33.53,71.00,100%
10:21:36,57.00,33.52,71.00,100%
10:21:38,57.00,33.53,71.00,100%
10:21:40,57.12,33.53,71.00,100%
10:21:42,57.19,33.53,71.00,100%
10:21:44,57.19,33.53,71.00,100%
10:21:46,57.25,33.53,71.00,100%
10:21:48,57.38,33.52,71.00,100%
10:21:50,57.38,33.53,78.00,100%
10:21:52,57.50,33.53,78.00,100%
10:21:54,57.50,33.53,78.00,100%
10:21:56,57.56,33.53,78.00,100%
10:21:58,57.62,33.54,78.00,100%
10:22:00,57.69,33.54,78.00,100%
10:22:02,57.81,33.54,78.00,100%
10:22:04,57.88,33.54,78.00,100%
10:22:06,57.88,33.54,78.00,100%
10:22:08,57.88,33.54,78.00,100%
10:22:10,58.00,33.55,78.00,100%
10:22:12,58.06,33.54,78.00,100%
10:22:14,58.12,33.54,78.00,100%
10:22:16,58.19,33.54,78.00,100%
10:22:18,58.31,33.56,78.00,100%
10:22:20,58.38,33.56,78.00,100%
10:22:22,58.38,33.54,78.00,100%
10:22:24,58.44,33.55,78.00,100%
10:22:26,58.56,33.56,78.00,100%
10:22:28,58.62,33.56,78.00,100%
10:22:30,58.69,33.56,78.00,100%
10:22:32,58.75,33.56,78.00,100%
10:22:34,58.75,33.56,78.00,100%
10:22:36,58.75,33.57,78.00,100%
10:22:38,58.81,33.56,78.00,100%
10:22:40,58.88,33.56,78.00,100%
10:22:42,59.00,33.57,78.00,100%
10:22:44,59.06,33.57,78.00,100%
10:22:46,59.19,33.57,78.00,100%
10:22:48,59.19,33.57,78.00,100%
10:22:50,59.19,33.56,78.00,100%
10:22:52,59.31,33.57,78.00,100%
10:22:54,59.38,33.56,78.00,100%
10:22:56,59.44,33.57,78.00,100%
10:22:58,59.44,33.57,78.00,100%
10:23:00,59.56,33.57,78.00,100%
10:23:02,59.62,33.57,78.00,100%
10:23:04,59.62,33.56,78.00,100%
10:23:06,59.69,33.58,78.00,100%
10:23:08,59.75,33.57,78.00,100%
10:23:10,59.81,33.57,78.00,100%
10:23:12,59.94,33.56,78.00,100%
10:23:14,60.00,33.56,78.00,100%
10:23:16,60.00,33.56,78.00,100%
10:23:18,60.06,33.56,78.00,100%
10:23:20,60.12,33.56,78.00,100%
10:23:22,60.25,33.56,78.00,100%
10:23:24,60.25,33.56,78.00,100%
10:23:26,60.25,33.57,78.00,100%
10:23:28,60.38,33.56,78.00,100%
10:23:30,60.44,33.57,78.00,100%
10:23:32,60.44,33.57,78.00,100%
10:23:34,60.50,33.57,78.00,100%
10:23:36,60.56,33.57,78.00,100%
10:23:38,60.62,33.57,78.00,100%
10:23:40,60.69,33.58,78.00,100%
10:23:42,60.81,33.57,78.00,100%
10:23:44,60.81,33.57,78.00,100%
10:23:46,60.88,33.57,78.00,100%
10:23:48,60.94,33.57,78.00,100%
10:23:50,60.94,33.58,78.00,100%
10:23:52,61.00,33.57,78.00,100%
10:23:54,61.06,33.57,78.00,100%
10:23:56,61.12,33.57,78.00,100%
