Timestamp, Internal Temperature, External Temperature, Reference Temperature, Atuadores
04/09/2021 10:10:01,28.88,29.06,40.00,0%
04/09/2021 10:10:03,28.88,29.06,40.00,100%
04/09/2021 10:10:05,28.88,29.05,40.00,100%
04/09/2021 10:10:07,28.88,29.05,40.00,100%
04/09/2021 10:10:09,29.00,29.05,40.00,100%
04/09/2021 10:10:11,29.00,29.05,40.00,100%
04/09/2021 10:10:13,29.12,29.04,40.00,100%
04/09/2021 10:10:15,29.12,29.04,40.00,100%
04/09/2021 10:10:17,29.50,29.05,40.00,100%
04/09/2021 10:10:19,29.50,29.05,40.00,100%
04/09/2021 10:10:21,30.12,29.05,40.00,100%
04/09/2021 10:10:23,30.12,29.05,40.00,100%
04/09/2021 10:10:25,30.12,29.05,40.00,100%
04/09/2021 10:10:27,30.50,29.05,40.00,100%
04/09/2021 10:10:29,30.50,29.05,40.00,100%
04/09/2021 10:10:31,31.38,29.05,40.00,100%
04/09/2021 10:10:33,31.38,29.05,40.00,100%
04/09/2021 10:10:35,32.44,29.05,40.00,100%
04/09/2021 10:10:37,32.44,29.05,40.00,100%
04/09/2021 10:10:39,33.06,29.05,40.00,100%
04/09/2021 10:10:41,33.06,29.06,40.00,100%
04/09/2021 10:10:43,34.31,29.06,40.00,100%
04/09/2021 10:10:45,34.31,29.07,40.00,100%
04/09/2021 10:10:47,34.94,29.07,40.00,100%
04/09/2021 10:10:49,34.94,29.07,40.00,100%
04/09/2021 10:10:51,36.38,29.07,40.00,100%
04/09/2021 10:10:53,36.38,29.07,40.00,100%
04/09/2021 10:10:55,37.88,29.09,40.00,100%
04/09/2021 10:10:57,37.88,29.09,40.00,100%
04/09/2021 10:10:59,38.69,29.10,40.00,100%
04/09/2021 10:11:01,38.69,29.10,40.00,100%
04/09/2021 10:11:03,40.31,29.11,40.00,100%
04/09/2021 10:11:05,40.31,29.11,40.00,100%
04/09/2021 10:11:07,42.00,29.12,40.00,100%
04/09/2021 10:11:09,42.00,29.12,40.00,100%
04/09/2021 10:11:11,42.94,29.12,40.00,100%
04/09/2021 10:11:13,42.94,29.12,40.00,100%
04/09/2021 10:11:15,42.94,29.12,40.00,-100%
04/09/2021 10:11:17,44.69,29.12,40.00,-100%
04/09/2021 10:11:19,44.69,29.15,40.00,-100%
04/09/2021 10:11:21,46.25,29.15,40.00,-100%
04/09/2021 10:11:23,46.25,29.16,40.00,-100%
04/09/2021 10:11:25,46.88,29.16,40.00,-100%
04/09/2021 10:11:27,46.88,29.18,40.00,-100%
04/09/2021 10:11:29,47.94,29.18,40.00,-100%
04/09/2021 10:11:31,47.94,29.20,40.00,-100%
04/09/2021 10:11:33,48.75,29.20,40.00,-100%
04/09/2021 10:11:35,48.75,29.22,40.00,-100%
04/09/2021 10:11:37,49.06,29.22,40.00,-100%
04/09/2021 10:11:39,49.06,29.22,40.00,-100%
04/09/2021 10:11:41,49.69,29.22,40.00,-100%
04/09/2021 10:11:43,49.69,29.22,40.00,-100%
04/09/2021 10:11:45,49.88,29.24,40.00,-100%
04/09/2021 10:11:47,49.88,29.24,40.00,-100%
04/09/2021 10:11:49,50.19,29.23,40.00,-100%
04/09/2021 10:11:51,50.19,29.23,40.00,-100%
