Timestamp, Internal Temperature, External Temperature, Reference Temperature, Actuators
07/09/2021 10:30:51,67.12,33.65,65.00,-23%
07/09/2021 10:30:53,67.00,33.64,65.00,-15%
07/09/2021 10:30:55,66.88,33.64,65.00,-18%
07/09/2021 10:30:57,66.88,33.65,65.00,-21%
07/09/2021 10:30:59,66.81,33.65,65.00,-24%
07/09/2021 10:31:01,66.69,33.65,65.00,-27%
07/09/2021 10:31:03,66.56,33.65,65.00,-27%
07/09/2021 10:31:05,66.56,33.65,65.00,-31%
07/09/2021 10:31:07,66.44,33.65,65.00,-33%
07/09/2021 10:31:09,66.25,33.65,65.00,-35%
07/09/2021 10:31:11,66.19,33.64,65.00,-35%
07/09/2021 10:31:13,66.00,33.65,65.00,-36%
07/09/2021 10:31:15,65.81,33.64,65.00,-37%
07/09/2021 10:31:17,65.81,33.64,65.00,-39%
07/09/2021 10:31:19,65.75,33.65,65.00,-40%
07/09/2021 10:31:21,65.56,33.65,65.00,-39%
07/09/2021 10:31:23,65.44,33.65,65.00,-41%
07/09/2021 10:31:25,65.44,33.65,65.00,-41%
07/09/2021 10:31:27,65.31,33.66,65.00,-41%
07/09/2021 10:31:29,65.19,33.65,65.00,-41%
07/09/2021 10:31:31,65.19,33.65,65.00,-41%
07/09/2021 10:31:33,65.06,33.65,65.00,-41%
07/09/2021 10:31:35,64.88,33.65,65.00,-39%
07/09/2021 10:31:37,64.75,33.64,65.00,-38%
07/09/2021 10:31:39,64.62,33.66,65.00,-37%
07/09/2021 10:31:41,64.62,33.64,65.00,-36%
07/09/2021 10:31:43,64.50,33.65,65.00,-35%
07/09/2021 10:31:45,64.31,33.65,65.00,-32%
07/09/2021 10:31:47,64.19,33.65,65.00,-30%
07/09/2021 10:31:49,64.06,33.65,65.00,-28%
07/09/2021 10:31:51,63.88,33.64,65.00,-28%
07/09/2021 10:31:53,63.88,33.65,65.00,-25%
07/09/2021 10:31:55,63.75,33.64,65.00,-21%
07/09/2021 10:31:57,63.62,33.65,65.00,-20%
07/09/2021 10:31:59,63.62,33.65,65.00,-17%
07/09/2021 10:32:01,63.44,33.64,65.00,-13%
07/09/2021 10:32:03,63.31,33.65,65.00,-9%
07/09/2021 10:32:05,63.19,33.65,65.00,-6%
07/09/2021 10:32:07,63.19,33.65,65.00,-3%
07/09/2021 10:32:09,63.00,33.65,65.00,1%
07/09/2021 10:32:11,62.88,33.65,65.00,5%
07/09/2021 10:32:13,62.75,33.65,65.00,10%
07/09/2021 10:32:15,62.56,33.65,65.00,15%
07/09/2021 10:32:17,62.44,33.65,65.00,21%
07/09/2021 10:32:19,62.44,33.64,65.00,23%
07/09/2021 10:32:21,62.31,33.64,65.00,29%
07/09/2021 10:32:23,62.12,33.65,65.00,36%
07/09/2021 10:32:25,62.12,33.65,65.00,38%
07/09/2021 10:32:27,62.06,33.65,65.00,44%
07/09/2021 10:32:29,61.94,33.65,65.00,51%
07/09/2021 10:32:31,61.81,33.65,65.00,54%
07/09/2021 10:32:33,61.81,33.65,65.00,61%
07/09/2021 10:32:35,61.69,33.66,65.00,68%
07/09/2021 10:32:37,61.56,33.66,65.00,76%
07/09/2021 10:32:39,61.50,33.66,65.00,80%
07/09/2021 10:32:41,61.44,33.65,65.00,87%
07/09/2021 10:32:43,61.44,33.66,65.00,94%
07/09/2021 10:32:45,61.31,33.66,65.00,99%
07/09/2021 10:32:47,61.25,33.66,65.00,100%
07/09/2021 10:32:49,61.19,33.66,65.00,100%
07/09/2021 10:32:51,61.12,33.66,65.00,100%
07/09/2021 10:32:53,61.12,33.66,65.00,100%
07/09/2021 10:32:55,61.06,33.66,65.00,100%
07/09/2021 10:32:57,61.00,33.66,65.00,100%
07/09/2021 10:32:59,61.00,33.66,65.00,100%
07/09/2021 10:33:01,61.00,33.65,65.00,100%
07/09/2021 10:33:03,61.00,33.67,65.00,100%
07/09/2021 10:33:05,60.94,33.67,65.00,100%
07/09/2021 10:33:07,60.94,33.67,65.00,100%
07/09/2021 10:33:09,60.94,33.67,65.00,100%
07/09/2021 10:33:11,60.94,33.67,65.00,100%
07/09/2021 10:33:13,60.94,33.67,65.00,100%
07/09/2021 10:33:15,60.94,33.68,65.00,100%
07/09/2021 10:33:17,60.94,33.67,65.00,100%
07/09/2021 10:33:19,60.94,33.67,65.00,100%
07/09/2021 10:33:21,60.94,33.67,65.00,100%
07/09/2021 10:33:23,61.00,33.68,65.00,100%
07/09/2021 10:33:25,61.00,33.68,65.00,100%
07/09/2021 10:33:27,61.00,33.67,65.00,100%
07/09/2021 10:33:29,61.00,33.68,65.00,100%
07/09/2021 10:33:31,61.06,33.67,65.00,100%
07/09/2021 10:33:33,61.06,33.67,65.00,100%
07/09/2021 10:33:35,61.06,33.67,65.00,100%
07/09/2021 10:33:37,61.12,33.67,65.00,100%
07/09/2021 10:33:39,61.12,33.68,65.00,100%
07/09/2021 10:33:41,61.19,33.68,65.00,100%
07/09/2021 10:33:43,61.25,33.67,65.00,100%
07/09/2021 10:33:45,61.25,33.68,65.00,100%
07/09/2021 10:33:47,61.31,33.67,65.00,100%
07/09/2021 10:33:49,61.31,33.68,65.00,100%
07/09/2021 10:33:51,61.38,33.69,65.00,100%
07/09/2021 10:33:53,61.38,33.69,65.00,100%
07/09/2021 10:33:55,61.38,33.68,65.00,100%
07/09/2021 10:33:57,61.44,33.68,65.00,100%
07/09/2021 10:33:59,61.50,33.69,65.00,100%
07/09/2021 10:34:01,61.50,33.68,65.00,100%
07/09/2021 10:34:03,61.56,33.68,65.00,100%
07/09/2021 10:34:05,61.62,33.67,65.00,100%
07/09/2021 10:34:07,61.62,33.68,65.00,100%
07/09/2021 10:34:09,61.62,33.69,65.00,100%
07/09/2021 10:34:11,61.69,33.68,65.00,100%
07/09/2021 10:34:13,61.81,33.68,65.00,100%
