Timestamp, Internal Temperature, External Temperature, Reference Temperature, Actuators
07/09/2021 10:45:42,63.69,33.69,40.00,-100%
07/09/2021 10:45:44,63.62,33.69,40.00,-100%
07/09/2021 10:45:46,63.38,33.69,40.00,-100%
07/09/2021 10:45:48,63.38,33.69,40.00,-100%
07/09/2021 10:45:50,63.00,33.68,40.00,-100%
07/09/2021 10:45:52,62.56,33.69,40.00,-100%
07/09/2021 10:45:54,62.12,33.69,40.00,-100%
07/09/2021 10:45:56,62.12,33.69,40.00,-100%
07/09/2021 10:45:58,61.69,33.68,40.00,-100%
07/09/2021 10:46:00,61.25,33.67,40.00,-100%
07/09/2021 10:46:02,60.81,33.67,40.00,-100%
07/09/2021 10:46:04,60.38,33.68,40.00,-100%
07/09/2021 10:46:06,59.94,33.66,40.00,-100%
07/09/2021 10:46:08,59.94,33.66,40.00,-100%
07/09/2021 10:46:10,59.50,33.65,40.00,-100%
07/09/2021 10:46:12,59.12,33.65,40.00,-100%
07/09/2021 10:46:14,58.75,33.65,40.00,-100%
07/09/2021 10:46:16,58.75,33.64,40.00,-100%
07/09/2021 10:46:18,58.31,33.64,40.00,-100%
07/09/2021 10:46:20,57.88,33.65,40.00,-100%
07/09/2021 10:46:22,57.88,33.65,40.00,-100%
07/09/2021 10:46:24,57.50,33.64,40.00,-100%
07/09/2021 10:46:26,57.19,33.64,40.00,-100%
07/09/2021 10:46:28,56.81,33.63,40.00,-100%
07/09/2021 10:46:30,56.44,33.63,40.00,-100%
07/09/2021 10:46:32,56.44,33.63,40.00,-100%
07/09/2021 10:46:34,56.12,33.63,40.00,-100%
07/09/2021 10:46:36,55.88,33.63,40.00,-100%
07/09/2021 10:46:38,55.56,33.63,40.00,-100%
07/09/2021 10:46:40,55.19,33.62,40.00,-100%
07/09/2021 10:46:42,54.94,33.62,40.00,-100%
07/09/2021 10:46:44,54.94,33.62,40.00,-100%
07/09/2021 10:46:46,54.62,33.62,40.00,-100%
07/09/2021 10:46:48,54.31,33.63,40.00,-100%
07/09/2021 10:46:50,54.31,33.61,40.00,-100%
07/09/2021 10:46:52,54.00,33.62,40.00,-100%
07/09/2021 10:46:54,53.75,33.62,40.00,-100%
